date,series_id,value,realtime_start,realtime_end,gdp_growth
2021-01-01,GDPC1,21082.134,2025-11-20,2025-11-20,1.3958164607909662
2021-04-01,GDPC1,21440.929,2025-11-20,2025-11-20,1.701891279127632
2021-07-01,GDPC1,21617.828,2025-11-20,2025-11-20,0.8250528696774451
2021-10-01,GDPC1,21988.737,2025-11-20,2025-11-20,1.7157551628220968
2022-01-01,GDPC1,21932.71,2025-11-20,2025-11-20,-0.2547986271335234
2022-04-01,GDPC1,21967.045,2025-11-20,2025-11-20,0.15654700217164752
2022-07-01,GDPC1,22125.625,2025-11-20,2025-11-20,0.7218995545372753
2022-10-01,GDPC1,22278.345,2025-11-20,2025-11-20,0.6902403886895891
2023-01-01,GDPC1,22439.607,2025-11-20,2025-11-20,0.723850896464695
2023-04-01,GDPC1,22580.499,2025-11-20,2025-11-20,0.6278719587201387
2023-07-01,GDPC1,22840.989,2025-11-20,2025-11-20,1.1536060385556546
2023-10-01,GDPC1,23033.78,2025-11-20,2025-11-20,0.8440571465622604
2024-01-01,GDPC1,23082.119,2025-11-20,2025-11-20,0.2098613427756968
2024-04-01,GDPC1,23286.508,2025-11-20,2025-11-20,0.8854862935244512
2024-07-01,GDPC1,23478.57,2025-11-20,2025-11-20,0.8247780216767531
2024-10-01,GDPC1,23586.542,2025-11-20,2025-11-20,0.4598746857240599
2025-01-01,GDPC1,23548.21,2025-11-20,2025-11-20,-0.16251640448184945
