NAICS2022_LABEL,EMP,NAME,GEO_ID,NAICS2022,us
Rubber and Plastics Hoses and Belting Manufacturing,19775,United States,0100000US,32622,1
Rubber and Plastics Hoses and Belting Manufacturing,19775,United States,0100000US,326220,1
Other Rubber Product Manufacturing,63567,United States,0100000US,32629,1
Rubber Product Manufacturing for Mechanical Use,29451,United States,0100000US,326291,1
All Other Rubber Product Manufacturing,34116,United States,0100000US,326299,1
Nonmetallic Mineral Product Manufacturing,424459,United States,0100000US,327,1
Clay Product and Refractory Manufacturing,36636,United States,0100000US,3271,1
"Pottery, Ceramics, and Plumbing Fixture Manufacturing",12373,United States,0100000US,32711,1
"Pottery, Ceramics, and Plumbing Fixture Manufacturing",12373,United States,0100000US,327110,1
Clay Building Material and Refractories Manufacturing,24263,United States,0100000US,32712,1
Clay Building Material and Refractories Manufacturing,24263,United States,0100000US,327120,1
Glass and Glass Product Manufacturing,93436,United States,0100000US,3272,1
Glass and Glass Product Manufacturing,93436,United States,0100000US,32721,1
Flat Glass Manufacturing,14047,United States,0100000US,327211,1
Other Pressed and Blown Glass and Glassware Manufacturing,11320,United States,0100000US,327212,1
Glass Container Manufacturing,13675,United States,0100000US,327213,1
Glass Product Manufacturing Made of Purchased Glass,54394,United States,0100000US,327215,1
Cement and Concrete Product Manufacturing,191769,United States,0100000US,3273,1
Cement Manufacturing,14510,United States,0100000US,32731,1
Cement Manufacturing,14510,United States,0100000US,327310,1
Ready-Mix Concrete Manufacturing,95538,United States,0100000US,32732,1
Ready-Mix Concrete Manufacturing,95538,United States,0100000US,327320,1
"Concrete Pipe, Brick, and Block Manufacturing",20979,United States,0100000US,32733,1
Concrete block and brick manufacturing,15846,United States,0100000US,327331,1
Concrete pipe manufacturing,5133,United States,0100000US,327332,1
Other Concrete Product Manufacturing,60742,United States,0100000US,32739,1
Other Concrete Product Manufacturing,60742,United States,0100000US,327390,1
Lime and Gypsum Product Manufacturing,15614,United States,0100000US,3274,1
Lime Manufacturing,3763,United States,0100000US,32741,1
Lime Manufacturing,3763,United States,0100000US,327410,1
Gypsum Product Manufacturing,11851,United States,0100000US,32742,1
Gypsum Product Manufacturing,11851,United States,0100000US,327420,1
Other Nonmetallic Mineral Product Manufacturing,87004,United States,0100000US,3279,1
Abrasive Product Manufacturing,10772,United States,0100000US,32791,1
Abrasive Product Manufacturing,10772,United States,0100000US,327910,1
All Other Nonmetallic Mineral Product Manufacturing,76232,United States,0100000US,32799,1
Cut Stone and Stone Product Manufacturing,39200,United States,0100000US,327991,1
Ground or Treated Mineral and Earth Manufacturing,10534,United States,0100000US,327992,1
Mineral Wool Manufacturing,15069,United States,0100000US,327993,1
All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,11429,United States,0100000US,327999,1
Primary Metal Manufacturing,349156,United States,0100000US,331,1
Iron and Steel Mills and Ferroalloy Manufacturing,75151,United States,0100000US,3311,1
Iron and Steel Mills and Ferroalloy Manufacturing,75151,United States,0100000US,33111,1
Iron and Steel Mills and Ferroalloy Manufacturing,75151,United States,0100000US,331110,1
Steel product manufacturing from purchased steel,53303,United States,0100000US,3312,1
Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,25740,United States,0100000US,33121,1
Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,25740,United States,0100000US,331210,1
Rolling and Drawing of Purchased Steel,27563,United States,0100000US,33122,1
Rolled Steel Shape Manufacturing,13743,United States,0100000US,331221,1
Steel Wire Drawing,13820,United States,0100000US,331222,1
Alumina and Aluminum Production and Processing,58807,United States,0100000US,3313,1
Alumina and Aluminum Production and Processing,58807,United States,0100000US,33131,1
Alumina Refining and Primary Aluminum Production,3848,United States,0100000US,331313,1
Secondary Smelting and Alloying of Aluminum,5531,United States,0100000US,331314,1
"Aluminum Sheet, Plate, and Foil Manufacturing",19523,United States,0100000US,331315,1
"Other Aluminum Rolling, Drawing, and Extruding",29905,United States,0100000US,331318,1
Nonferrous Metal (except Aluminum) Production and Processing,54797,United States,0100000US,3314,1
Nonferrous Metal (except Aluminum) Smelting and Refining,7920,United States,0100000US,33141,1
Nonferrous Metal (except Aluminum) Smelting and Refining,7920,United States,0100000US,331410,1
"Copper Rolling, Drawing, Extruding, and Alloying",25174,United States,0100000US,33142,1
"Copper Rolling, Drawing, Extruding, and Alloying",25174,United States,0100000US,331420,1
"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, Extruding, and Alloying",21703,United States,0100000US,33149,1
"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",12610,United States,0100000US,331491,1
"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",9093,United States,0100000US,331492,1
Foundries,107098,United States,0100000US,3315,1
Ferrous Metal Foundries,56847,United States,0100000US,33151,1
Iron Foundries,32389,United States,0100000US,331511,1
Steel Investment Foundries,14303,United States,0100000US,331512,1
Steel Foundries (except Investment),10155,United States,0100000US,331513,1
Nonferrous Metal Foundries,50251,United States,0100000US,33152,1
Nonferrous Metal Die-Casting Foundries,28636,United States,0100000US,331523,1
Aluminum Foundries (except Die-Casting),12754,United States,0100000US,331524,1
Other Nonferrous Metal Foundries (except Die-Casting),8861,United States,0100000US,331529,1
Fabricated Metal Product Manufacturing,1424399,United States,0100000US,332,1
Forging and Stamping,88851,United States,0100000US,3321,1
Forging and Stamping,88851,United States,0100000US,33211,1
Iron and Steel Forging,15339,United States,0100000US,332111,1
Nonferrous Forging,5565,United States,0100000US,332112,1
Custom Roll Forming,14408,United States,0100000US,332114,1
Powder metallurgy part manufacturing,9411,United States,0100000US,332117,1
"Metal Crown, Closure, and Other Metal Stamping (except Automotive)",44128,United States,0100000US,332119,1
Cutlery and Handtool Manufacturing,30960,United States,0100000US,3322,1
Cutlery and Handtool Manufacturing,30960,United States,0100000US,33221,1
"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing",6551,United States,0100000US,332215,1
Saw Blade and Handtool Manufacturing,24409,United States,0100000US,332216,1
Architectural and Structural Metals Manufacturing,424596,United States,0100000US,3323,1
Plate Work and Fabricated Structural Product Manufacturing,190769,United States,0100000US,33231,1
Prefabricated Metal Building and Component Manufacturing,30139,United States,0100000US,332311,1
Fabricated Structural Metal Manufacturing,109255,United States,0100000US,332312,1
Plate Work Manufacturing,51375,United States,0100000US,332313,1
Ornamental and Architectural Metal Products Manufacturing,233827,United States,0100000US,33232,1
Metal Window and Door Manufacturing,58572,United States,0100000US,332321,1
Sheet Metal Work Manufacturing,132185,United States,0100000US,332322,1
Ornamental and Architectural Metal Work Manufacturing,43070,United States,0100000US,332323,1
"Boiler, Tank, and Shipping Container Manufacturing",81473,United States,0100000US,3324,1
Power Boiler and Heat Exchanger Manufacturing,19854,United States,0100000US,33241,1
Power Boiler and Heat Exchanger Manufacturing,19854,United States,0100000US,332410,1
Metal Tank (Heavy Gauge) Manufacturing,30541,United States,0100000US,33242,1
Metal Tank (Heavy Gauge) Manufacturing,30541,United States,0100000US,332420,1
"Metal Can, Box, and Other Metal Container (Light Gauge) Manufacturing",31078,United States,0100000US,33243,1
Metal Can Manufacturing,20604,United States,0100000US,332431,1
Other Metal Container Manufacturing,10474,United States,0100000US,332439,1
Hardware Manufacturing,28620,United States,0100000US,3325,1
Hardware Manufacturing,28620,United States,0100000US,33251,1
Hardware Manufacturing,28620,United States,0100000US,332510,1
Spring and Wire Product Manufacturing,34777,United States,0100000US,3326,1
Spring and Wire Product Manufacturing,34777,United States,0100000US,33261,1
Spring Manufacturing,16398,United States,0100000US,332613,1
Other Fabricated Wire Product Manufacturing,18379,United States,0100000US,332618,1
"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing",371460,United States,0100000US,3327,1
Machine Shops,226604,United States,0100000US,33271,1
Machine Shops,226604,United States,0100000US,332710,1
"Turned Product and Screw, Nut, and Bolt Manufacturing",144856,United States,0100000US,33272,1
Precision Turned Product Manufacturing,108020,United States,0100000US,332721,1
"Bolt, Nut, Screw, Rivet, and Washer Manufacturing",36836,United States,0100000US,332722,1
"Coating, Engraving, Heat Treating, and Allied Activities",116275,United States,0100000US,3328,1
"Coating, Engraving, Heat Treating, and Allied Activities",116275,United States,0100000US,33281,1
Metal Heat Treating,18174,United States,0100000US,332811,1
"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers",50737,United States,0100000US,332812,1
"Electroplating, Plating, Polishing, Anodizing, and Coloring",47364,United States,0100000US,332813,1
Other fabricated metal product manufacturing,247387,United States,0100000US,3329,1
Metal Valve Manufacturing,85831,United States,0100000US,33291,1
Industrial Valve Manufacturing,33193,United States,0100000US,332911,1
Fluid Power Valve and Hose Fitting Manufacturing,30169,United States,0100000US,332912,1
Plumbing Fixture Fitting and Trim Manufacturing,9702,United States,0100000US,332913,1
Other Metal Valve and Pipe Fitting Manufacturing,12767,United States,0100000US,332919,1
All Other Fabricated Metal Product Manufacturing,161556,United States,0100000US,33299,1
Ball and Roller Bearing Manufacturing,18023,United States,0100000US,332991,1
Small Arms Ammunition Manufacturing,13455,United States,0100000US,332992,1
Ammunition (except Small Arms) Manufacturing,14700,United States,0100000US,332993,1
"Small Arms, Ordnance, and Ordnance Accessories Manufacturing",24552,United States,0100000US,332994,1
Fabricated Pipe and Pipe Fitting Manufacturing,27714,United States,0100000US,332996,1
All Other Miscellaneous Fabricated Metal Product Manufacturing,63112,United States,0100000US,332999,1
Machinery Manufacturing,1069526,United States,0100000US,333,1
"Agriculture, Construction, and Mining Machinery Manufacturing",183535,United States,0100000US,3331,1
Agricultural Implement Manufacturing,81276,United States,0100000US,33311,1
Farm Machinery and Equipment Manufacturing,62909,United States,0100000US,333111,1
Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing,18367,United States,0100000US,333112,1
Construction Machinery Manufacturing,61468,United States,0100000US,33312,1
Construction Machinery Manufacturing,61468,United States,0100000US,333120,1
Mining and Oil and Gas Field Machinery Manufacturing,40791,United States,0100000US,33313,1
Mining Machinery and Equipment Manufacturing,11149,United States,0100000US,333131,1
Oil and Gas Field Machinery and Equipment Manufacturing,29642,United States,0100000US,333132,1
Industrial Machinery Manufacturing,101850,United States,0100000US,3332,1
Industrial Machinery Manufacturing,101850,United States,0100000US,33324,1
Food Product Machinery Manufacturing,17243,United States,0100000US,333241,1
Semiconductor Machinery Manufacturing,26067,United States,0100000US,333242,1
"Sawmill, Woodworking, and Paper Machinery Manufacturing",11816,United States,0100000US,333243,1
All Other Industrial Machinery Manufacturing,46724,United States,0100000US,333248,1
Commercial and Service Industry Machinery Manufacturing,82115,United States,0100000US,3333,1
Commercial and Service Industry Machinery Manufacturing,82115,United States,0100000US,33331,1
Commercial and Service Industry Machinery Manufacturing,82115,United States,0100000US,333310,1
"Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing",152228,United States,0100000US,3334,1
"Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing",152228,United States,0100000US,33341,1
Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,30758,United States,0100000US,333413,1
Heating Equipment (except Warm Air Furnaces) Manufacturing,17456,United States,0100000US,333414,1
Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,104014,United States,0100000US,333415,1
Metalworking Machinery Manufacturing,133974,United States,0100000US,3335,1
Metalworking Machinery Manufacturing,133974,United States,0100000US,33351,1
Industrial Mold Manufacturing,28682,United States,0100000US,333511,1
"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing",43736,United States,0100000US,333514,1
Cutting Tool and Machine Tool Accessory Manufacturing,23919,United States,0100000US,333515,1
Machine Tool Manufacturing,27956,United States,0100000US,333517,1
Rolling Mill and Other Metalworking Machinery Manufacturing,9681,United States,0100000US,333519,1
"Engine, Turbine, and Power Transmission Equipment Manufacturing",97681,United States,0100000US,3336,1
"Engine, Turbine, and Power Transmission Equipment Manufacturing",97681,United States,0100000US,33361,1
Turbine and Turbine Generator Set Units Manufacturing,30509,United States,0100000US,333611,1
"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing",10922,United States,0100000US,333612,1
Mechanical Power Transmission Equipment Manufacturing,16317,United States,0100000US,333613,1
Other Engine Equipment Manufacturing,39933,United States,0100000US,333618,1
Other General Purpose Machinery Manufacturing,318143,United States,0100000US,3339,1
Pump and Compressor Manufacturing,56467,United States,0100000US,33391,1
Air and Gas Compressor Manufacturing,20626,United States,0100000US,333912,1
"Measuring, Dispensing, and Other Pumping Equipment Manufacturing",35841,United States,0100000US,333914,1
Material Handling Equipment Manufacturing,105342,United States,0100000US,33392,1
Elevator and Moving Stairway Manufacturing,10745,United States,0100000US,333921,1
Conveyor and Conveying Equipment Manufacturing,44413,United States,0100000US,333922,1
"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing",20119,United States,0100000US,333923,1
"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing",30065,United States,0100000US,333924,1
All Other General Purpose Machinery Manufacturing,156334,United States,0100000US,33399,1
Power-Driven Handtool Manufacturing,6148,United States,0100000US,333991,1
Welding and Soldering Equipment Manufacturing,15583,United States,0100000US,333992,1
Packaging machinery manufacturing,26330,United States,0100000US,333993,1
Industrial Process Furnace and Oven Manufacturing,11407,United States,0100000US,333994,1
Fluid Power Cylinder and Actuator Manufacturing,19003,United States,0100000US,333995,1
Fluid Power Pump and Motor Manufacturing,11402,United States,0100000US,333996,1
All Other Miscellaneous General Purpose Machinery Manufacturing,66461,United States,0100000US,333998,1
Computer and Electronic Product Manufacturing,819719,United States,0100000US,334,1
Computer and Peripheral Equipment Manufacturing,30929,United States,0100000US,3341,1
Computer and Peripheral Equipment Manufacturing,30929,United States,0100000US,33411,1
Electronic Computer Manufacturing,13898,United States,0100000US,334111,1
Computer Storage Device Manufacturing,8678,United States,0100000US,334112,1
Computer Terminal and Other Computer Peripheral Equipment Manufacturing,8353,United States,0100000US,334118,1
Communications Equipment Manufacturing,83558,United States,0100000US,3342,1
Telephone Apparatus Manufacturing,8732,United States,0100000US,33421,1
Telephone Apparatus Manufacturing,8732,United States,0100000US,334210,1
Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,62091,United States,0100000US,33422,1
Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,62091,United States,0100000US,334220,1
Other Communications Equipment Manufacturing,12735,United States,0100000US,33429,1
Other Communications Equipment Manufacturing,12735,United States,0100000US,334290,1
Audio and Video Equipment Manufacturing,12808,United States,0100000US,3343,1
Audio and Video Equipment Manufacturing,12808,United States,0100000US,33431,1
Audio and Video Equipment Manufacturing,12808,United States,0100000US,334310,1
Semiconductor and Other Electronic Component Manufacturing,270708,United States,0100000US,3344,1
Semiconductor and Other Electronic Component Manufacturing,270708,United States,0100000US,33441,1
Bare Printed Circuit Board Manufacturing,21123,United States,0100000US,334412,1
Semiconductor and Related Device Manufacturing,106969,United States,0100000US,334413,1
"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",14887,United States,0100000US,334416,1
Electronic Connector Manufacturing,19599,United States,0100000US,334417,1
Printed Circuit Assembly (Electronic Assembly) Manufacturing,54438,United States,0100000US,334418,1
Other Electronic Component Manufacturing,53692,United States,0100000US,334419,1
"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",416201,United States,0100000US,3345,1
"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",416201,United States,0100000US,33451,1
Electromedical and Electrotherapeutic Apparatus Manufacturing,94953,United States,0100000US,334510,1
"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",123903,United States,0100000US,334511,1
"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use",11209,United States,0100000US,334512,1
"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",41518,United States,0100000US,334513,1
Totalizing Fluid Meter and Counting Device Manufacturing,12787,United States,0100000US,334514,1
Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,27517,United States,0100000US,334515,1
Analytical Laboratory Instrument Manufacturing,49746,United States,0100000US,334516,1
Irradiation Apparatus Manufacturing,14254,United States,0100000US,334517,1
Other Measuring and Controlling Device Manufacturing,40314,United States,0100000US,334519,1
Manufacturing and Reproducing Magnetic and Optical Media,5515,United States,0100000US,3346,1
Manufacturing and Reproducing Magnetic and Optical Media,5515,United States,0100000US,33461,1
Manufacturing and Reproducing Magnetic and Optical Media,5515,United States,0100000US,334610,1
"Electrical Equipment, Appliance, and Component Manufacturing",373387,United States,0100000US,335,1
Electric Lighting Equipment Manufacturing,37699,United States,0100000US,3351,1
Electric Lighting Equipment Manufacturing,37699,United States,0100000US,33513,1
Residential Electric Lighting Fixture Manufacturing,6523,United States,0100000US,335131,1
"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing",18614,United States,0100000US,335132,1
Electric Lamp Bulb and Other Lighting Equipment Manufacturing,12562,United States,0100000US,335139,1
Household Appliance Manufacturing,57642,United States,0100000US,3352,1
Small Electrical Appliance Manufacturing,8544,United States,0100000US,33521,1
Small Electrical Appliance Manufacturing,8544,United States,0100000US,335210,1
Major Household Appliance Manufacturing,49098,United States,0100000US,33522,1
Major Household Appliance Manufacturing,49098,United States,0100000US,335220,1
Electrical Equipment Manufacturing,119871,United States,0100000US,3353,1
Electrical Equipment Manufacturing,119871,United States,0100000US,33531,1
"Power, Distribution, and Specialty Transformer Manufacturing",23996,United States,0100000US,335311,1
Motor and Generator Manufacturing,28521,United States,0100000US,335312,1
Switchgear and Switchboard Apparatus Manufacturing,35586,United States,0100000US,335313,1
Relay and Industrial Control Manufacturing,31768,United States,0100000US,335314,1
Other electrical equipment and component manufacturing,158175,United States,0100000US,3359,1
Battery Manufacturing,48626,United States,0100000US,33591,1
Battery Manufacturing,48626,United States,0100000US,335910,1
Communication and Energy Wire and Cable Manufacturing,22071,United States,0100000US,33592,1
Fiber Optic Cable Manufacturing,7206,United States,0100000US,335921,1
Other Communication and Energy Wire Manufacturing,14865,United States,0100000US,335929,1
Wiring Device Manufacturing,39550,United States,0100000US,33593,1
Current-Carrying Wiring Device Manufacturing,24954,United States,0100000US,335931,1
Noncurrent-Carrying Wiring Device Manufacturing,14596,United States,0100000US,335932,1
All Other Electrical Equipment and Component Manufacturing,47928,United States,0100000US,33599,1
Carbon and Graphite Product Manufacturing,9252,United States,0100000US,335991,1
All Other Miscellaneous Electrical Equipment and Component Manufacturing,38676,United States,0100000US,335999,1
Transportation Equipment Manufacturing,1636080,United States,0100000US,336,1
Motor Vehicle Manufacturing,252000,United States,0100000US,3361,1
Automobile and Light Duty Motor Vehicle Manufacturing,213363,United States,0100000US,33611,1
Automobile and Light Duty Motor Vehicle Manufacturing,213363,United States,0100000US,336110,1
Heavy Duty Truck Manufacturing,38637,United States,0100000US,33612,1
Heavy Duty Truck Manufacturing,38637,United States,0100000US,336120,1
Motor Vehicle Body and Trailer Manufacturing,177036,United States,0100000US,3362,1
Motor Vehicle Body and Trailer Manufacturing,177036,United States,0100000US,33621,1
Motor Vehicle Body Manufacturing,57659,United States,0100000US,336211,1
Truck Trailer Manufacturing,45182,United States,0100000US,336212,1
Motor Home Manufacturing,12643,United States,0100000US,336213,1
Travel Trailer and Camper Manufacturing,61552,United States,0100000US,336214,1
Motor Vehicle Parts Manufacturing,575338,United States,0100000US,3363,1
Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,59754,United States,0100000US,33631,1
Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,59754,United States,0100000US,336310,1
Motor Vehicle Electrical and Electronic Equipment Manufacturing,59943,United States,0100000US,33632,1
Motor Vehicle Electrical and Electronic Equipment Manufacturing,59943,United States,0100000US,336320,1
Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing,35440,United States,0100000US,33633,1
Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing,35440,United States,0100000US,336330,1
Motor Vehicle Brake System Manufacturing,19809,United States,0100000US,33634,1
Motor Vehicle Brake System Manufacturing,19809,United States,0100000US,336340,1
Motor Vehicle Transmission and Power Train Parts Manufacturing,83333,United States,0100000US,33635,1
Motor Vehicle Transmission and Power Train Parts Manufacturing,83333,United States,0100000US,336350,1
Motor Vehicle Seating and Interior Trim Manufacturing,72280,United States,0100000US,33636,1
Motor Vehicle Seating and Interior Trim Manufacturing,72280,United States,0100000US,336360,1
Motor Vehicle Metal Stamping,103323,United States,0100000US,33637,1
Motor Vehicle Metal Stamping,103323,United States,0100000US,336370,1
Other Motor Vehicle Parts Manufacturing,141456,United States,0100000US,33639,1
Other Motor Vehicle Parts Manufacturing,141456,United States,0100000US,336390,1
Aerospace Product and Parts Manufacturing,416552,United States,0100000US,3364,1
Aerospace Product and Parts Manufacturing,416552,United States,0100000US,33641,1
Aircraft Manufacturing,178922,United States,0100000US,336411,1
Aircraft Engine and Engine Parts Manufacturing,66672,United States,0100000US,336412,1
Other Aircraft Parts and Auxiliary Equipment Manufacturing,101083,United States,0100000US,336413,1
Guided Missile and Space Vehicle Manufacturing,25453,United States,0100000US,336414,1
Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing,37683,United States,0100000US,336415,1
Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing,6739,United States,0100000US,336419,1
Railroad Rolling Stock Manufacturing,30031,United States,0100000US,3365,1
Railroad Rolling Stock Manufacturing,30031,United States,0100000US,33651,1
Railroad Rolling Stock Manufacturing,30031,United States,0100000US,336510,1
Ship and Boat Building,148040,United States,0100000US,3366,1
Ship and Boat Building,148040,United States,0100000US,33661,1
Ship Building and Repairing,98695,United States,0100000US,336611,1
Boat Building,49345,United States,0100000US,336612,1
Other Transportation Equipment Manufacturing,37083,United States,0100000US,3369,1
Other Transportation Equipment Manufacturing,37083,United States,0100000US,33699,1
"Motorcycle, Bicycle, and Parts Manufacturing",9647,United States,0100000US,336991,1
"Military Armored Vehicle, Tank, and Tank Component Manufacturing",11931,United States,0100000US,336992,1
All Other Transportation Equipment Manufacturing,15505,United States,0100000US,336999,1
Furniture and Related Product Manufacturing,378328,United States,0100000US,337,1
Household and institutional furniture and kitchen cabinet manufacturing,235897,United States,0100000US,3371,1
Wood Kitchen Cabinet and Countertop Manufacturing,106951,United States,0100000US,33711,1
Wood Kitchen Cabinet and Countertop Manufacturing,106951,United States,0100000US,337110,1
Household and Institutional Furniture Manufacturing,128946,United States,0100000US,33712,1
Upholstered Household Furniture Manufacturing,71578,United States,0100000US,337121,1
Nonupholstered Wood Household Furniture Manufacturing,21628,United States,0100000US,337122,1
Household Furniture (except Wood and Upholstered) Manufacturing,12273,United States,0100000US,337126,1
Institutional Furniture Manufacturing,23467,United States,0100000US,337127,1
Office Furniture (including Fixtures) Manufacturing,108270,United States,0100000US,3372,1
Office Furniture (including Fixtures) Manufacturing,108270,United States,0100000US,33721,1
Wood office furniture manufacturing,13299,United States,0100000US,337211,1
Custom Architectural Woodwork and Millwork Manufacturing,47896,United States,0100000US,337212,1
Office Furniture (except Wood) Manufacturing,17518,United States,0100000US,337214,1
"Showcase, Partition, Shelving, and Locker Manufacturing",29557,United States,0100000US,337215,1
Other furniture related product manufacturing,34161,United States,0100000US,3379,1
Mattress Manufacturing,22508,United States,0100000US,33791,1
Mattress Manufacturing,22508,United States,0100000US,337910,1
Blind and Shade Manufacturing,11653,United States,0100000US,33792,1
Blind and Shade Manufacturing,11653,United States,0100000US,337920,1
Miscellaneous Manufacturing,528700,United States,0100000US,339,1
Medical Equipment and Supplies Manufacturing,289216,United States,0100000US,3391,1
Medical Equipment and Supplies Manufacturing,289216,United States,0100000US,33911,1
Surgical and Medical Instrument Manufacturing,121079,United States,0100000US,339112,1
Surgical Appliance and Supplies Manufacturing,86017,United States,0100000US,339113,1
Dental Equipment and Supplies Manufacturing,16408,United States,0100000US,339114,1
Ophthalmic Goods Manufacturing,21438,United States,0100000US,339115,1
Dental Laboratories,44274,United States,0100000US,339116,1
Other Miscellaneous Manufacturing,239484,United States,0100000US,3399,1
Jewelry and Silverware Manufacturing,18811,United States,0100000US,33991,1
Jewelry and Silverware Manufacturing,18811,United States,0100000US,339910,1
Sporting and Athletic Goods Manufacturing,37048,United States,0100000US,33992,1
Sporting and Athletic Goods Manufacturing,37048,United States,0100000US,339920,1
"Doll, Toy, and Game Manufacturing",5590,United States,0100000US,33993,1
"Doll, Toy, and Game Manufacturing",5590,United States,0100000US,339930,1
Office Supplies (except Paper) Manufacturing,8908,United States,0100000US,33994,1
Office Supplies (except Paper) Manufacturing,8908,United States,0100000US,339940,1
Sign Manufacturing,73566,United States,0100000US,33995,1
Sign Manufacturing,73566,United States,0100000US,339950,1
All Other Miscellaneous Manufacturing,95561,United States,0100000US,33999,1
"Gasket, packing, and sealing device manufacturing",27038,United States,0100000US,339991,1
Musical Instrument Manufacturing,11833,United States,0100000US,339992,1
"Fastener, Button, Needle, and Pin Manufacturing",3772,United States,0100000US,339993,1
"Broom, brush, and mop manufacturing",8657,United States,0100000US,339994,1
Burial Casket Manufacturing,2770,United States,0100000US,339995,1
All Other Miscellaneous Manufacturing,41491,United States,0100000US,339999,1
Wholesale trade,6219107,United States,0100000US,42,1
"Merchant Wholesalers, Durable Goods",3631054,United States,0100000US,423,1
Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,446624,United States,0100000US,4231,1
Automobile and other motor vehicle merchant wholesalers,142401,United States,0100000US,42311,1
Automobile and other motor vehicle merchant wholesalers,142401,United States,0100000US,423110,1
Automobile and motorcycle merchant wholesalers,51502,United States,0100000US,4231101,1
Bus and recreational vehicle merchant wholesalers,5653,United States,0100000US,4231102,1
"Light truck and van (14,000 lb or less) merchant wholesalers",9075,United States,0100000US,4231103,1
"Medium truck and tractor (14,001 lb to 33,000 lb) merchant wholesalers",7072,United States,0100000US,4231104,1
"Heavy truck and tractor (over 33,000 lb) merchant wholesalers",69099,United States,0100000US,4231105,1
Motor Vehicle Supplies and New Parts Merchant Wholesalers,225900,United States,0100000US,42312,1
Motor Vehicle Supplies and New Parts Merchant Wholesalers,225900,United States,0100000US,423120,1
Motor vehicle supplies and new parts merchant wholesalers- warehouse distributors,74878,United States,0100000US,4231201,1
Motor vehicle supplies and new parts merchant wholesalers- jobbers,146903,United States,0100000US,4231202,1
Petroleum products marketing equipment merchant wholesalers,4119,United States,0100000US,4231203,1
Tire and Tube Merchant Wholesalers,51495,United States,0100000US,42313,1
Tire and Tube Merchant Wholesalers,51495,United States,0100000US,423130,1
Motor Vehicle Parts (Used) Merchant Wholesalers,26828,United States,0100000US,42314,1
Motor Vehicle Parts (Used) Merchant Wholesalers,26828,United States,0100000US,423140,1
Furniture and Home Furnishing Merchant Wholesalers,161209,United States,0100000US,4232,1
Furniture Merchant Wholesalers,67247,United States,0100000US,42321,1
Furniture Merchant Wholesalers,67247,United States,0100000US,423210,1
Household and lawn furniture merchant wholesalers,28369,United States,0100000US,4232101,1
Office and business furniture merchant wholesalers,38878,United States,0100000US,4232102,1
Home Furnishing Merchant Wholesalers,93962,United States,0100000US,42322,1
Home Furnishing Merchant Wholesalers,93962,United States,0100000US,423220,1
"Household china, glassware, and crockery merchant wholesalers",4424,United States,0100000US,4232201,1
"Linens, domestics, draperies, and curtains merchant wholesalers",16363,United States,0100000US,4232202,1
Floor coverings merchant wholesalers,43480,United States,0100000US,4232203,1
Other home furnishings merchant wholesalers,29695,United States,0100000US,4232204,1
Lumber and Other Construction Materials Merchant Wholesalers,268570,United States,0100000US,4233,1
"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers",131380,United States,0100000US,42331,1
"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers",131380,United States,0100000US,423310,1
