NAICS2022_LABEL,EMP,NAME,GEO_ID,NAICS2022,us
"Highway, Street, and Bridge Construction",331473,United States,0100000US,237310,1
Other Heavy and Civil Engineering Construction,77948,United States,0100000US,2379,1
Other Heavy and Civil Engineering Construction,77948,United States,0100000US,23799,1
Other Heavy and Civil Engineering Construction,77948,United States,0100000US,237990,1
Specialty Trade Contractors,4832377,United States,0100000US,238,1
"Foundation, structure, and building exterior contractors",960223,United States,0100000US,2381,1
Poured Concrete Foundation and Structure Contractors,274618,United States,0100000US,23811,1
Poured Concrete Foundation and Structure Contractors,274618,United States,0100000US,238110,1
Structural Steel and Precast Concrete Contractors,77724,United States,0100000US,23812,1
Structural Steel and Precast Concrete Contractors,77724,United States,0100000US,238120,1
Framing Contractors,103612,United States,0100000US,23813,1
Framing Contractors,103612,United States,0100000US,238130,1
Masonry Contractors,130295,United States,0100000US,23814,1
Masonry Contractors,130295,United States,0100000US,238140,1
Glass and Glazing Contractors,70256,United States,0100000US,23815,1
Glass and Glazing Contractors,70256,United States,0100000US,238150,1
Roofing Contractors,217014,United States,0100000US,23816,1
Roofing Contractors,217014,United States,0100000US,238160,1
Siding Contractors,42593,United States,0100000US,23817,1
Siding Contractors,42593,United States,0100000US,238170,1
"Other Foundation, Structure, and Building Exterior Contractors",44111,United States,0100000US,23819,1
"Other Foundation, Structure, and Building Exterior Contractors",44111,United States,0100000US,238190,1
Building Equipment Contractors,2280334,United States,0100000US,2382,1
Electrical Contractors and Other Wiring Installation Contractors,968734,United States,0100000US,23821,1
Electrical Contractors and Other Wiring Installation Contractors,968734,United States,0100000US,238210,1
"Plumbing, Heating, and Air-Conditioning Contractors",1169692,United States,0100000US,23822,1
"Plumbing, Heating, and Air-Conditioning Contractors",1169692,United States,0100000US,238220,1
Other Building Equipment Contractors,141908,United States,0100000US,23829,1
Other Building Equipment Contractors,141908,United States,0100000US,238290,1
Building finishing contractors,824843,United States,0100000US,2383,1
Drywall and Insulation Contractors,238637,United States,0100000US,23831,1
Drywall and Insulation Contractors,238637,United States,0100000US,238310,1
Painting and Wall Covering Contractors,191449,United States,0100000US,23832,1
Painting and Wall Covering Contractors,191449,United States,0100000US,238320,1
Flooring Contractors,85979,United States,0100000US,23833,1
Flooring Contractors,85979,United States,0100000US,238330,1
Tile and Terrazzo Contractors,59168,United States,0100000US,23834,1
Tile and Terrazzo Contractors,59168,United States,0100000US,238340,1
Finish Carpentry Contractors,177934,United States,0100000US,23835,1
Finish Carpentry Contractors,177934,United States,0100000US,238350,1
Other Building Finishing Contractors,71676,United States,0100000US,23839,1
Other Building Finishing Contractors,71676,United States,0100000US,238390,1
Other Specialty Trade Contractors,766977,United States,0100000US,2389,1
Site Preparation Contractors,482712,United States,0100000US,23891,1
Site Preparation Contractors,482712,United States,0100000US,238910,1
All Other Specialty Trade Contractors,284265,United States,0100000US,23899,1
All Other Specialty Trade Contractors,284265,United States,0100000US,238990,1
Manufacturing,12171365,United States,0100000US,31-33,1
Food Manufacturing,1646880,United States,0100000US,311,1
Animal Food Manufacturing,61902,United States,0100000US,3111,1
Animal Food Manufacturing,61902,United States,0100000US,31111,1
Dog and Cat Food Manufacturing,30337,United States,0100000US,311111,1
Other Animal Food Manufacturing,31565,United States,0100000US,311119,1
Grain and Oilseed Milling,58358,United States,0100000US,3112,1
Flour Milling and Malt Manufacturing,21720,United States,0100000US,31121,1
Flour Milling,15032,United States,0100000US,311211,1
Rice Milling,5827,United States,0100000US,311212,1
Malt Manufacturing,861,United States,0100000US,311213,1
Starch and Vegetable Fats and Oils Manufacturing,24497,United States,0100000US,31122,1
Wet Corn Milling and Starch Manufacturing,7822,United States,0100000US,311221,1
Soybean and Other Oilseed Processing,8934,United States,0100000US,311224,1
Fats and Oils Refining and Blending,7741,United States,0100000US,311225,1
